date,count
2018-01-01,21163
2018-01-02,37267
2018-01-03,40394
2018-01-04,40483
2018-01-05,39203
2018-01-06,30191
2018-01-07,31338
2018-01-08,45033
2018-01-09,48211
2018-01-10,47193
2018-01-11,45437
2018-01-12,43249
2018-01-13,31210
2018-01-14,32135
2018-01-15,45550
2018-01-16,48467
2018-01-17,48468
2018-01-18,49255
2018-01-19,45118
2018-01-20,35146
2018-01-21,35162
2018-01-22,50299
2018-01-23,51817
2018-01-24,50448
2018-01-25,49046
2018-01-26,45524
2018-01-27,35468
2018-01-28,35265
2018-01-29,50018
2018-01-30,52121
2018-01-31,51514
2018-02-01,50967
2018-02-02,46047
2018-02-03,35647
2018-02-04,36190
2018-02-05,49134
2018-02-06,50738
2018-02-07,51569
2018-02-08,49632
2018-02-09,45566
2018-02-10,34082
2018-02-11,37084
2018-02-12,48069
2018-02-13,46934
2018-02-14,43382
2018-02-15,42152
2018-02-16,40169
2018-02-17,32653
2018-02-18,34730
2018-02-19,45040
2018-02-20,47529
2018-02-21,47743
2018-02-22,48800
2018-02-23,46917
2018-02-24,38651
2018-02-25,37104
2018-02-26,52269
2018-02-27,54535
2018-02-28,52924
2018-03-01,51836
2018-03-02,47576
2018-03-03,37883
2018-03-04,37584
2018-03-05,54112
2018-03-06,55744
2018-03-07,54624
2018-03-08,53119
2018-03-09,50031
2018-03-10,42433
2018-03-11,39718
2018-03-12,56007
2018-03-13,58254
2018-03-14,55898
2018-03-15,53525
2018-03-16,50440
2018-03-17,37995
2018-03-18,39697
2018-03-19,55867
2018-03-20,58952
2018-03-21,57076
2018-03-22,55123
2018-03-23,50482
2018-03-24,39391
2018-03-25,39868
2018-03-26,55241
2018-03-27,55773
2018-03-28,53992
2018-03-29,51491
2018-03-30,44686
2018-03-31,35224
2018-04-01,34943
2018-04-02,50125
2018-04-03,56170
2018-04-04,53703
2018-04-05,48785
2018-04-06,45599
2018-04-07,39902
2018-04-08,44707
2018-04-09,55804
2018-04-10,57482
2018-04-11,55528
2018-04-12,56202
2018-04-13,50092
2018-04-14,38715
2018-04-15,38995
2018-04-16,56311
2018-04-17,57192
2018-04-18,56471
2018-04-19,53876
2018-04-20,51241
2018-04-21,38012
2018-04-22,38824
2018-04-23,56727
2018-04-24,57284
2018-04-25,54452
2018-04-26,53431
2018-04-27,48127
2018-04-28,37119
2018-04-29,33653
2018-04-30,43502
2018-05-01,43850
2018-05-02,51964
2018-05-03,52046
2018-05-04,47732
2018-05-05,35937
2018-05-06,35986
2018-05-07,52424
2018-05-08,54176
2018-05-09,52566
2018-05-10,51993
2018-05-11,48110
2018-05-12,35630
2018-05-13,36056
2018-05-14,53810
2018-05-15,54749
2018-05-16,53803
2018-05-17,53465
2018-05-18,48637
2018-05-19,35947
2018-05-20,36197
2018-05-21,51789
2018-05-22,55586
2018-05-23,55417
2018-05-24,52418
2018-05-25,48156
2018-05-26,34211
2018-05-27,34693
2018-05-28,49380
2018-05-29,52677
2018-05-30,52486
2018-05-31,51229
2018-06-01,46205
2018-06-02,34774
2018-06-03,36910
2018-06-04,54958
2018-06-05,57421
2018-06-06,55869
2018-06-07,53987
2018-06-08,48698
2018-06-09,36176
2018-06-10,36611
2018-06-11,51387
2018-06-12,53872
2018-06-13,51412
2018-06-14,48324
2018-06-15,42794
2018-06-16,30077
2018-06-17,30953
2018-06-18,44729
2018-06-19,49948
2018-06-20,50095
2018-06-21,48406
2018-06-22,45024
2018-06-23,33443
2018-06-24,33442
2018-06-25,50684
2018-06-26,53032
2018-06-27,50445
2018-06-28,48784
2018-06-29,47278
2018-06-30,32658
2018-07-01,32864
2018-07-02,49272
2018-07-03,50966
2018-07-04,46853
2018-07-05,48990
2018-07-06,45342
2018-07-07,32586
2018-07-08,33673
2018-07-09,53374
2018-07-10,52422
2018-07-11,50254
2018-07-12,49956
2018-07-13,46401
2018-07-14,32907
2018-07-15,31987
2018-07-16,49517
2018-07-17,52027
2018-07-18,51741
2018-07-19,49974
2018-07-20,46460
2018-07-21,33664
2018-07-22,35482
2018-07-23,51694
2018-07-24,52296
2018-07-25,51847
2018-07-26,52296
2018-07-27,46197
2018-07-28,34091
2018-07-29,34841
2018-07-30,50991
2018-07-31,55085
2018-08-01,52201
2018-08-02,50491
2018-08-03,46809
2018-08-04,34860
2018-08-05,33735
2018-08-06,51400
2018-08-07,52182
2018-08-08,51671
2018-08-09,50087
2018-08-10,46404
2018-08-11,33449
2018-08-12,34030
2018-08-13,51156
2018-08-14,51750
2018-08-15,49225
2018-08-16,49545
2018-08-17,45996
2018-08-18,33909
2018-08-19,35025
2018-08-20,50118
2018-08-21,51417
2018-08-22,51722
2018-08-23,51943
2018-08-24,49526
2018-08-25,35738
2018-08-26,35778
2018-08-27,52400
2018-08-28,56437
2018-08-29,56426
2018-08-30,55408
2018-08-31,50166
