date,count
2016-01-01,9126
2016-01-02,10996
2016-01-03,11945
2016-01-04,18925
2016-01-05,19989
2016-01-06,19895
2016-01-07,20392
2016-01-08,18853
2016-01-09,13930
2016-01-10,14487
2016-01-11,21311
2016-01-12,22157
2016-01-13,21536
2016-01-14,21273
2016-01-15,19314
2016-01-16,14401
2016-01-17,14927
2016-01-18,21369
2016-01-19,23004
2016-01-20,22741
2016-01-21,22646
2016-01-22,20640
2016-01-23,16189
2016-01-24,16509
2016-01-25,22934
2016-01-26,24138
2016-01-27,24534
2016-01-28,23945
2016-01-29,23867
2016-01-30,18222
2016-01-31,17674
2016-02-01,24414
2016-02-02,24960
2016-02-03,24665
2016-02-04,23500
2016-02-05,21278
2016-02-06,16336
2016-02-07,15787
2016-02-08,20650
2016-02-09,26625
2016-02-10,24530
2016-02-11,26008
2016-02-12,22285
2016-02-13,16201
2016-02-14,16964
2016-02-15,24131
2016-02-16,28229
2016-02-17,27071
2016-02-18,25822
2016-02-19,23988
2016-02-20,18394
2016-02-21,18378
2016-02-22,26017
2016-02-23,28003
2016-02-24,26100
2016-02-25,26465
2016-02-26,23654
2016-02-27,19317
2016-02-28,21242
2016-02-29,26951
2016-03-01,26918
2016-03-02,28036
2016-03-03,27474
2016-03-04,25107
2016-03-05,19809
2016-03-06,18892
2016-03-07,26505
2016-03-08,26660
2016-03-09,26419
2016-03-10,26454
2016-03-11,23951
2016-03-12,18612
2016-03-13,19123
2016-03-14,27267
2016-03-15,27329
2016-03-16,27803
2016-03-17,27347
2016-03-18,25103
2016-03-19,18835
2016-03-20,19308
2016-03-21,27088
2016-03-22,27270
2016-03-23,26296
2016-03-24,24893
2016-03-25,22093
2016-03-26,17126
2016-03-27,16425
2016-03-28,25416
2016-03-29,27606
2016-03-30,27564
2016-03-31,26655
2016-04-01,24893
2016-04-02,18584
2016-04-03,18813
2016-04-04,25057
2016-04-05,27927
2016-04-06,27494
2016-04-07,27164
2016-04-08,25468
2016-04-09,19074
2016-04-10,19414
2016-04-11,28047
2016-04-12,28676
2016-04-13,27685
2016-04-14,26781
2016-04-15,24713
2016-04-16,19167
2016-04-17,19434
2016-04-18,27401
2016-04-19,29046
2016-04-20,28166
2016-04-21,26698
2016-04-22,24898
2016-04-23,18647
2016-04-24,19310
2016-04-25,27107
2016-04-26,26542
2016-04-27,26780
2016-04-28,27960
2016-04-29,26307
2016-04-30,16890
2016-05-01,15773
2016-05-02,25180
2016-05-03,25665
2016-05-04,25396
2016-05-05,23483
2016-05-06,22639
2016-05-07,16078
2016-05-08,16088
2016-05-09,24292
2016-05-10,25958
2016-05-11,25469
2016-05-12,25989
2016-05-13,24540
2016-05-14,17734
2016-05-15,18139
2016-05-16,25800
2016-05-17,27142
2016-05-18,27527
2016-05-19,26705
2016-05-20,24487
2016-05-21,17496
2016-05-22,17776
2016-05-23,25529
2016-05-24,26994
2016-05-25,25594
2016-05-26,25167
2016-05-27,22736
2016-05-28,16057
2016-05-29,16529
2016-05-30,23236
2016-05-31,25909
2016-06-01,25757
2016-06-02,25760
2016-06-03,23342
2016-06-04,16511
2016-06-05,16752
2016-06-06,24085
2016-06-07,26170
2016-06-08,25030
2016-06-09,22456
2016-06-10,20632
2016-06-11,15721
2016-06-12,18017
2016-06-13,23764
2016-06-14,25756
2016-06-15,25003
2016-06-16,25447
2016-06-17,22480
2016-06-18,15649
2016-06-19,16061
2016-06-20,25638
2016-06-21,27049
2016-06-22,25410
2016-06-23,26033
2016-06-24,22301
2016-06-25,15513
2016-06-26,15453
2016-06-27,26074
2016-06-28,26396
2016-06-29,25176
2016-06-30,25297
2016-07-01,23704
2016-07-02,15786
2016-07-03,15592
2016-07-04,23119
2016-07-05,25959
2016-07-06,25403
2016-07-07,26304
2016-07-08,23648
2016-07-09,16824
2016-07-10,17001
2016-07-11,26331
2016-07-12,26378
2016-07-13,26109
2016-07-14,28437
2016-07-15,23677
2016-07-16,16362
2016-07-17,17074
2016-07-18,27874
2016-07-19,27913
2016-07-20,26709
2016-07-21,26438
2016-07-22,24409
2016-07-23,16551
2016-07-24,16892
2016-07-25,25782
2016-07-26,26026
2016-07-27,26009
2016-07-28,24925
2016-07-29,23670
2016-07-30,17108
2016-07-31,17289
2016-08-01,26201
2016-08-02,27702
2016-08-03,25874
2016-08-04,26925
2016-08-05,24655
2016-08-06,16927
2016-08-07,17355
2016-08-08,27455
2016-08-09,26697
2016-08-10,26272
2016-08-11,25682
2016-08-12,24045
2016-08-13,16492
2016-08-14,15884
2016-08-15,24343
2016-08-16,27214
2016-08-17,27516
2016-08-18,26339
2016-08-19,24508
2016-08-20,17590
2016-08-21,17513
2016-08-22,27499
2016-08-23,28760
2016-08-24,27836
2016-08-25,27566
2016-08-26,25686
2016-08-27,18451
2016-08-28,18414
2016-08-29,28856
2016-08-30,29517
2016-08-31,29626
2016-09-01,28885
2016-09-02,26974
2016-09-03,18386
2016-09-04,19290
2016-09-05,26347
2016-09-06,30829
2016-09-07,30375
2016-09-08,30104
2016-09-09,28926
2016-09-10,20413
2016-09-11,20605
2016-09-12,30545
2016-09-13,31664
2016-09-14,29931
2016-09-15,27880
2016-09-16,25527
2016-09-17,21129
2016-09-18,22751
2016-09-19,32292
2016-09-20,33259
2016-09-21,33026
2016-09-22,32719
2016-09-23,30042
2016-09-24,21848
2016-09-25,21745
2016-09-26,33580
2016-09-27,33818
2016-09-28,33859
2016-09-29,32582
2016-09-30,28702
2016-10-01,20193
2016-10-02,20231
2016-10-03,29108
2016-10-04,30905
2016-10-05,29895
2016-10-06,30097
2016-10-07,28515
2016-10-08,23995
2016-10-09,24719
2016-10-10,32527
2016-10-11,33222
2016-10-12,33586
2016-10-13,33473
2016-10-14,30860
2016-10-15,22226
2016-10-16,22691
2016-10-17,34568
2016-10-18,35978
2016-10-19,34564
2016-10-20,33233
2016-10-21,29166
2016-10-22,23540
2016-10-23,22651
2016-10-24,33467
2016-10-25,33585
2016-10-26,33009
2016-10-27,32674
2016-10-28,29099
2016-10-29,20598
2016-10-30,21154
2016-10-31,31879
2016-11-01,31815
2016-11-02,32519
2016-11-03,33583
2016-11-04,30656
2016-11-05,23255
2016-11-06,23577
2016-11-07,34139
2016-11-08,34753
2016-11-09,30388
2016-11-10,31818
2016-11-11,28673
2016-11-12,23059
2016-11-13,23423
2016-11-14,34634
2016-11-15,33918
2016-11-16,33814
2016-11-17,34023
2016-11-18,30920
2016-11-19,22999
2016-11-20,23718
2016-11-21,34009
2016-11-22,33460
2016-11-23,31515
2016-11-24,28887
2016-11-25,26050
2016-11-26,21532
2016-11-27,22555
2016-11-28,33094
2016-11-29,35004
2016-11-30,33669
2016-12-01,33461
2016-12-02,30955
2016-12-03,23616
2016-12-04,23048
2016-12-05,34670
2016-12-06,33450
2016-12-07,32465
2016-12-08,31728
2016-12-09,30450
2016-12-10,22581
2016-12-11,22619
2016-12-12,31864
2016-12-13,32629
2016-12-14,31122
2016-12-15,29938
2016-12-16,27685
