date,count
2012-01-01,923
2012-01-02,1449
2012-01-03,1727
2012-01-04,1851
2012-01-05,1859
2012-01-06,1830
2012-01-07,1462
2012-01-08,1497
2012-01-09,2030
2012-01-10,2060
2012-01-11,2148
2012-01-12,2019
2012-01-13,1939
2012-01-14,1516
2012-01-15,1561
2012-01-16,1975
2012-01-17,2244
2012-01-18,2202
2012-01-19,2052
2012-01-20,2053
2012-01-21,1534
2012-01-22,1632
2012-01-23,2004
2012-01-24,2074
2012-01-25,2120
2012-01-26,2232
2012-01-27,2020
2012-01-28,1798
2012-01-29,1816
2012-01-30,2266
2012-01-31,2390
2012-02-01,2396
2012-02-02,2481
2012-02-03,2300
2012-02-04,1837
2012-02-05,1887
2012-02-06,2225
2012-02-07,2395
2012-02-08,2377
2012-02-09,2353
2012-02-10,2323
2012-02-11,1790
2012-02-12,1901
2012-02-13,2355
2012-02-14,2368
2012-02-15,2403
2012-02-16,2422
2012-02-17,2388
2012-02-18,1884
2012-02-19,2089
2012-02-20,2455
2012-02-21,2619
2012-02-22,2653
2012-02-23,2445
2012-02-24,2335
2012-02-25,2002
2012-02-26,2142
2012-02-27,2576
2012-02-28,2596
2012-02-29,2448
2012-03-01,2440
2012-03-02,2404
2012-03-03,1995
2012-03-04,2158
2012-03-05,2603
2012-03-06,2847
2012-03-07,2792
2012-03-08,2659
2012-03-09,2599
2012-03-10,1922
2012-03-11,2009
2012-03-12,2580
2012-03-13,2667
2012-03-14,2727
2012-03-15,2464
2012-03-16,2337
2012-03-17,1835
2012-03-18,1901
2012-03-19,2491
2012-03-20,2755
2012-03-21,2629
2012-03-22,2612
2012-03-23,2337
2012-03-24,1931
2012-03-25,1833
2012-03-26,2411
2012-03-27,2539
2012-03-28,2621
2012-03-29,2661
2012-03-30,2568
2012-03-31,1911
2012-04-01,1972
2012-04-02,2547
2012-04-03,2652
2012-04-04,2548
2012-04-05,2680
2012-04-06,2291
2012-04-07,1835
2012-04-08,1816
2012-04-09,2408
2012-04-10,2643
2012-04-11,2769
2012-04-12,2796
2012-04-13,2704
2012-04-14,2178
2012-04-15,2111
2012-04-16,2782
2012-04-17,2646
2012-04-18,2689
2012-04-19,2891
2012-04-20,2596
2012-04-21,2356
2012-04-22,2271
2012-04-23,2751
2012-04-24,2906
2012-04-25,2700
2012-04-26,2626
2012-04-27,2519
2012-04-28,2065
2012-04-29,2117
2012-04-30,2440
2012-05-01,2459
2012-05-02,2683
2012-05-03,2775
2012-05-04,2516
2012-05-05,2109
2012-05-06,1912
2012-05-07,2496
2012-05-08,2744
2012-05-09,2702
2012-05-10,2769
2012-05-11,2561
2012-05-12,2040
2012-05-13,1962
2012-05-14,2640
2012-05-15,2605
2012-05-16,2655
2012-05-17,2546
2012-05-18,2521
2012-05-19,1704
2012-05-20,1833
2012-05-21,2812
2012-05-22,3401
2012-05-23,3038
2012-05-24,2960
2012-05-25,2617
2012-05-26,1847
2012-05-27,1813
2012-05-28,2387
2012-05-29,2863
2012-05-30,2834
2012-05-31,2815
2012-06-01,2564
2012-06-02,2321
2012-06-03,2166
2012-06-04,2838
2012-06-05,3008
2012-06-06,2858
2012-06-07,3003
2012-06-08,2719
2012-06-09,2065
2012-06-10,2060
2012-06-11,2838
2012-06-12,2992
2012-06-13,3044
2012-06-14,2706
2012-06-15,2610
2012-06-16,1886
2012-06-17,1867
2012-06-18,2601
2012-06-19,2950
2012-06-20,2908
2012-06-21,2808
2012-06-22,2649
2012-06-23,2266
2012-06-24,2140
2012-06-25,2828
2012-06-26,2941
2012-06-27,2974
2012-06-28,2753
2012-06-29,2654
2012-06-30,2116
2012-07-01,2142
2012-07-02,2668
2012-07-03,2859
2012-07-04,3986
2012-07-05,6202
2012-07-06,4173
2012-07-07,2569
2012-07-08,2382
2012-07-09,3934
2012-07-10,3900
2012-07-11,3456
2012-07-12,3709
2012-07-13,9624
2012-07-14,13127
2012-07-15,2398
2012-07-16,3393
2012-07-17,3467
2012-07-18,3319
2012-07-19,3201
2012-07-20,2969
2012-07-21,2133
2012-07-22,2129
2012-07-23,3091
2012-07-24,3255
2012-07-25,3136
2012-07-26,3102
2012-07-27,2812
2012-07-28,2294
2012-07-29,2089
2012-07-30,2994
2012-07-31,3241
2012-08-01,3081
2012-08-02,3132
2012-08-03,2990
2012-08-04,2084
2012-08-05,2174
2012-08-06,3103
2012-08-07,3251
2012-08-08,3151
2012-08-09,3164
2012-08-10,2917
2012-08-11,2235
2012-08-12,2343
2012-08-13,3147
2012-08-14,3111
2012-08-15,3011
2012-08-16,2919
2012-08-17,2957
2012-08-18,2208
2012-08-19,2166
2012-08-20,3069
2012-08-21,3447
2012-08-22,3412
2012-08-23,3337
2012-08-24,3160
2012-08-25,2324
2012-08-26,2379
2012-08-27,3491
2012-08-28,3643
2012-08-29,3470
2012-08-30,3429
2012-08-31,2946
2012-09-01,2250
2012-09-02,2271
2012-09-03,3031
2012-09-04,3636
2012-09-05,3514
2012-09-06,3604
2012-09-07,3380
2012-09-08,2536
2012-09-09,2492
2012-09-10,3493
2012-09-11,3815
2012-09-12,3777
2012-09-13,3709
2012-09-14,3255
2012-09-15,2684
2012-09-16,2629
2012-09-17,3471
2012-09-18,3677
2012-09-19,3687
2012-09-20,3639
2012-09-21,3467
2012-09-22,2496
2012-09-23,2569
2012-09-24,3542
2012-09-25,3936
2012-09-26,3878
2012-09-27,3856
2012-09-28,3472
2012-09-29,2595
2012-09-30,2512
2012-10-01,3712
2012-10-02,3719
2012-10-03,3791
2012-10-04,3709
2012-10-05,3857
2012-10-06,2708
2012-10-07,2760
2012-10-08,3929
2012-10-09,4194
2012-10-10,4074
2012-10-11,3816
2012-10-12,3620
2012-10-13,2827
2012-10-14,2731
2012-10-15,4063
2012-10-16,4137
2012-10-17,4178
2012-10-18,4019
2012-10-19,3867
2012-10-20,2993
2012-10-21,3096
2012-10-22,4132
2012-10-23,4173
2012-10-24,4183
2012-10-25,4114
2012-10-26,3654
2012-10-27,2812
2012-10-28,2939
2012-10-29,4052
2012-10-30,4133
2012-10-31,3997
2012-11-01,4253
2012-11-02,3918
2012-11-03,3003
2012-11-04,3360
2012-11-05,4271
2012-11-06,4574
2012-11-07,4259
2012-11-08,4206
2012-11-09,4079
2012-11-10,3295
2012-11-11,4580
2012-11-12,4277
2012-11-13,4264
2012-11-14,4327
2012-11-15,4226
2012-11-16,4079
2012-11-17,3286
2012-11-18,3199
2012-11-19,4171
2012-11-20,4280
2012-11-21,4720
2012-11-22,3888
2012-11-23,3511
2012-11-24,2900
2012-11-25,3038
2012-11-26,4289
2012-11-27,4500
2012-11-28,4520
2012-11-29,4401
2012-11-30,4058
2012-12-01,3268
2012-12-02,3266
2012-12-03,4377
2012-12-04,4364
2012-12-05,4303
2012-12-06,4340
2012-12-07,4105
2012-12-08,3158
2012-12-09,3049
2012-12-10,4237
2012-12-11,4421
2012-12-12,4320
2012-12-13,4397
2012-12-14,3888
2012-12-15,2905
2012-12-16,3030
2012-12-17,4075
2012-12-18,4302
2012-12-19,4204
2012-12-20,4038
2012-12-21,3477
2012-12-22,2682
2012-12-23,2343
2012-12-24,2735
2012-12-25,2280
2012-12-26,2937
2012-12-27,3469
2012-12-28,3324
2012-12-29,2722
2012-12-30,2710
2012-12-31,2883
