date,count
2017-01-01,13967
2017-01-02,22916
2017-01-03,29364
2017-01-04,30459
2017-01-05,29433
2017-01-06,28029
2017-01-07,21319
2017-01-08,22274
2017-01-09,32248
2017-01-10,33651
2017-01-11,32954
2017-01-12,32859
2017-01-13,30651
2017-01-14,23862
2017-01-15,26429
2017-01-16,33041
2017-01-17,35932
2017-01-18,35702
2017-01-19,35147
2017-01-20,32992
2017-01-21,25264
2017-01-22,25235
2017-01-23,34281
2017-01-24,33950
2017-01-25,32862
2017-01-26,31131
2017-01-27,28723
2017-01-28,21705
2017-01-29,22548
2017-01-30,31640
2017-01-31,32364
2017-02-01,34095
2017-02-02,34110
2017-02-03,31413
2017-02-04,26539
2017-02-05,25988
2017-02-06,37549
2017-02-07,39587
2017-02-08,40016
2017-02-09,37928
2017-02-10,35132
2017-02-11,25647
2017-02-12,26343
2017-02-13,38324
2017-02-14,37634
2017-02-15,38182
2017-02-16,39012
2017-02-17,35824
2017-02-18,26953
2017-02-19,26937
2017-02-20,38330
2017-02-21,41369
2017-02-22,40939
2017-02-23,39267
2017-02-24,36414
2017-02-25,27885
2017-02-26,28098
2017-02-27,39581
2017-02-28,40070
2017-03-01,40478
2017-03-02,40943
2017-03-03,36870
2017-03-04,28242
2017-03-05,28849
2017-03-06,40849
2017-03-07,41755
2017-03-08,39300
2017-03-09,41011
2017-03-10,36719
2017-03-11,27739
2017-03-12,28205
2017-03-13,40243
2017-03-14,41581
2017-03-15,40396
2017-03-16,39609
2017-03-17,36766
2017-03-18,27203
2017-03-19,28747
2017-03-20,40493
2017-03-21,41963
2017-03-22,41409
2017-03-23,40457
2017-03-24,36834
2017-03-25,27850
2017-03-26,28386
2017-03-27,41164
2017-03-28,42033
2017-03-29,40197
2017-03-30,40165
2017-03-31,37548
2017-04-01,28794
2017-04-02,26786
2017-04-03,36871
2017-04-04,40732
2017-04-05,40694
2017-04-06,40199
2017-04-07,36181
2017-04-08,27456
2017-04-09,28916
2017-04-10,38915
2017-04-11,40863
2017-04-12,38061
2017-04-13,35492
2017-04-14,32320
2017-04-15,23931
2017-04-16,25632
2017-04-17,38983
2017-04-18,39196
2017-04-19,41250
2017-04-20,41705
2017-04-21,37621
2017-04-22,27609
2017-04-23,27907
2017-04-24,40325
2017-04-25,41000
2017-04-26,40332
2017-04-27,38233
2017-04-28,34116
2017-04-29,24329
2017-04-30,23500
2017-05-01,31171
2017-05-02,38088
2017-05-03,38527
2017-05-04,38545
2017-05-05,35822
2017-05-06,25492
2017-05-07,26378
2017-05-08,39169
2017-05-09,40191
2017-05-10,39447
2017-05-11,38907
2017-05-12,34885
2017-05-13,25832
2017-05-14,25645
2017-05-15,38896
2017-05-16,39245
2017-05-17,38711
2017-05-18,38554
2017-05-19,35820
2017-05-20,25573
2017-05-21,26322
2017-05-22,38540
2017-05-23,40548
2017-05-24,38708
2017-05-25,36867
2017-05-26,34366
2017-05-27,26171
2017-05-28,23705
2017-05-29,32303
2017-05-30,35957
