date,count
2008-01-01,0
2008-01-02,0
2008-01-03,0
2008-01-04,0
2008-01-05,0
2008-01-06,0
2008-01-07,0
2008-01-08,0
2008-01-09,0
2008-01-10,0
2008-01-11,0
2008-01-12,2
2008-01-13,3
2008-01-14,4
2008-01-15,5
2008-01-16,0
2008-01-17,2
2008-01-18,1
2008-01-19,2
2008-01-20,0
2008-01-21,1
2008-01-22,2
2008-01-23,3
2008-01-24,0
2008-01-25,2
2008-01-26,0
2008-01-27,6
2008-01-28,4
2008-01-29,3
2008-01-30,3
2008-01-31,4
2008-02-01,7
2008-02-02,7
2008-02-03,7
2008-02-04,3
2008-02-05,1
2008-02-06,5
2008-02-07,2
2008-02-08,3
2008-02-09,14
2008-02-10,3
2008-02-11,7
2008-02-12,2
2008-02-13,3
2008-02-14,19
2008-02-15,8
2008-02-16,8
2008-02-17,10
2008-02-18,4
2008-02-19,6
2008-02-20,9
2008-02-21,13
2008-02-22,8
2008-02-23,15
2008-02-24,8
2008-02-25,11
2008-02-26,14
2008-02-27,27
2008-02-28,34
2008-02-29,45
2008-03-01,33
2008-03-02,18
2008-03-03,18
2008-03-04,56
2008-03-05,27
2008-03-06,27
2008-03-07,16
2008-03-08,32
2008-03-09,21
2008-03-10,24
2008-03-11,23
2008-03-12,35
2008-03-13,16
2008-03-14,26
2008-03-15,19
2008-03-16,16
2008-03-17,16
2008-03-18,25
2008-03-19,29
2008-03-20,19
2008-03-21,38
2008-03-22,19
2008-03-23,25
2008-03-24,23
2008-03-25,23
2008-03-26,20
2008-03-27,21
2008-03-28,27
2008-03-29,8
2008-03-30,14
2008-03-31,25
2008-04-01,27
2008-04-02,18
2008-04-03,40
2008-04-04,58
2008-04-05,47
2008-04-06,26
2008-04-07,55
2008-04-08,31
2008-04-09,39
2008-04-10,41
2008-04-11,77
2008-04-12,39
2008-04-13,42
2008-04-14,65
2008-04-15,53
2008-04-16,57
2008-04-17,48
2008-04-18,46
2008-04-19,27
2008-04-20,46
2008-04-21,47
2008-04-22,48
2008-04-23,23
2008-04-24,27
2008-04-25,54
2008-04-26,29
2008-04-27,33
2008-04-28,37
2008-04-29,45
2008-04-30,57
2008-05-01,51
2008-05-02,45
2008-05-03,34
2008-05-04,35
2008-05-05,58
2008-05-06,39
2008-05-07,34
2008-05-08,41
2008-05-09,50
2008-05-10,45
2008-05-11,42
2008-05-12,51
2008-05-13,52
2008-05-14,63
2008-05-15,61
2008-05-16,51
2008-05-17,36
2008-05-18,40
2008-05-19,58
2008-05-20,42
2008-05-21,68
2008-05-22,66
2008-05-23,46
2008-05-24,37
2008-05-25,39
2008-05-26,38
2008-05-27,34
2008-05-28,39
2008-05-29,64
2008-05-30,50
2008-05-31,69
2008-06-01,49
2008-06-02,44
2008-06-03,56
2008-06-04,65
2008-06-05,61
2008-06-06,52
2008-06-07,58
2008-06-08,42
2008-06-09,53
2008-06-10,46
2008-06-11,61
2008-06-12,52
2008-06-13,74
2008-06-14,46
2008-06-15,42
2008-06-16,49
2008-06-17,65
2008-06-18,64
2008-06-19,52
2008-06-20,69
2008-06-21,36
2008-06-22,36
2008-06-23,49
2008-06-24,65
2008-06-25,78
2008-06-26,70
2008-06-27,57
2008-06-28,35
2008-06-29,54
2008-06-30,45
2008-07-01,57
2008-07-02,41
2008-07-03,88
2008-07-04,44
2008-07-05,31
2008-07-06,40
2008-07-07,54
2008-07-08,52
2008-07-09,64
2008-07-10,73
2008-07-11,56
2008-07-12,37
2008-07-13,27
2008-07-14,43
2008-07-15,60
2008-07-16,51
2008-07-17,58
2008-07-18,57
2008-07-19,53
2008-07-20,40
2008-07-21,51
2008-07-22,78
2008-07-23,73
2008-07-24,81
2008-07-25,67
2008-07-26,45
2008-07-27,44
2008-07-28,62
2008-07-29,59
2008-07-30,74
2008-07-31,64
2008-08-01,71
2008-08-02,49
2008-08-03,43
2008-08-04,49
2008-08-05,68
2008-08-06,74
2008-08-07,68
2008-08-08,71
2008-08-09,52
2008-08-10,45
2008-08-11,64
2008-08-12,59
2008-08-13,65
2008-08-14,73
2008-08-15,53
2008-08-16,43
2008-08-17,58
2008-08-18,62
2008-08-19,69
2008-08-20,66
2008-08-21,85
2008-08-22,92
2008-08-23,41
2008-08-24,70
2008-08-25,105
