date,count
2015-01-01,5514
2015-01-02,8214
2015-01-03,7453
2015-01-04,8234
2015-01-05,11907
2015-01-06,13026
2015-01-07,12833
2015-01-08,13350
2015-01-09,12123
2015-01-10,9416
2015-01-11,9805
2015-01-12,13667
2015-01-13,14113
2015-01-14,14090
2015-01-15,13994
2015-01-16,13293
2015-01-17,10577
2015-01-18,10888
2015-01-19,19089
2015-01-20,17817
2015-01-21,27663
2015-01-22,35560
2015-01-23,14745
2015-01-24,11726
2015-01-25,13234
2015-01-26,14320
2015-01-27,14371
2015-01-28,14846
2015-01-29,14672
2015-01-30,13613
2015-01-31,10176
2015-02-01,10131
2015-02-02,14182
2015-02-03,15739
2015-02-04,15484
2015-02-05,15626
2015-02-06,14532
2015-02-07,11391
2015-02-08,11154
2015-02-09,15485
2015-02-10,15723
2015-02-11,15770
2015-02-12,16264
2015-02-13,14310
2015-02-14,9614
2015-02-15,10884
2015-02-16,13822
2015-02-17,14530
2015-02-18,14596
2015-02-19,14690
2015-02-20,13674
2015-02-21,12089
2015-02-22,13862
2015-02-23,14296
2015-02-24,14694
2015-02-25,15018
2015-02-26,14658
2015-02-27,13856
2015-02-28,10944
2015-03-01,10550
2015-03-02,15624
2015-03-03,16704
2015-03-04,16447
2015-03-05,15877
2015-03-06,14655
2015-03-07,11368
2015-03-08,11277
2015-03-09,16330
2015-03-10,16637
2015-03-11,16301
2015-03-12,17660
2015-03-13,29823
2015-03-14,18908
2015-03-15,17185
2015-03-16,22212
2015-03-17,20432
2015-03-18,19093
2015-03-19,18159
2015-03-20,17159
2015-03-21,14028
2015-03-22,15801
2015-03-23,17815
2015-03-24,18493
2015-03-25,18406
2015-03-26,17196
2015-03-27,15945
2015-03-28,12333
2015-03-29,12393
2015-03-30,17418
2015-03-31,17116
2015-04-01,16899
2015-04-02,15755
2015-04-03,13966
2015-04-04,10908
2015-04-05,10611
2015-04-06,15599
2015-04-07,18576
2015-04-08,18575
2015-04-09,17386
2015-04-10,16666
2015-04-11,12942
2015-04-12,12939
2015-04-13,17075
2015-04-14,17957
2015-04-15,17720
2015-04-16,17387
2015-04-17,16211
2015-04-18,12725
2015-04-19,13008
2015-04-20,17423
2015-04-21,17874
2015-04-22,18231
2015-04-23,17067
2015-04-24,16413
2015-04-25,12699
2015-04-26,14591
2015-04-27,17112
2015-04-28,17875
2015-04-29,16851
2015-04-30,15262
2015-05-01,12443
2015-05-02,10367
2015-05-03,10397
2015-05-04,16758
2015-05-05,18228
2015-05-06,17358
2015-05-07,17231
2015-05-08,15870
2015-05-09,11358
2015-05-10,11573
2015-05-11,16836
2015-05-12,18149
2015-05-13,17313
2015-05-14,16941
2015-05-15,15282
2015-05-16,12054
2015-05-17,12565
2015-05-18,16652
2015-05-19,18150
2015-05-20,17668
2015-05-21,16901
2015-05-22,16283
2015-05-23,12101
2015-05-24,13860
2015-05-25,14398
2015-05-26,16957
2015-05-27,17242
2015-05-28,17059
2015-05-29,15398
2015-05-30,10934
2015-05-31,11900
2015-06-01,16496
2015-06-02,18026
2015-06-03,17565
2015-06-04,16542
2015-06-05,15148
2015-06-06,12139
2015-06-07,11433
2015-06-08,16691
2015-06-09,17618
2015-06-10,17317
2015-06-11,16726
2015-06-12,15094
2015-06-13,11517
2015-06-14,11738
2015-06-15,16585
2015-06-16,17134
2015-06-17,16615
2015-06-18,16555
2015-06-19,15447
2015-06-20,11526
2015-06-21,13052
2015-06-22,15283
2015-06-23,16933
2015-06-24,16553
2015-06-25,16223
2015-06-26,14978
2015-06-27,11041
2015-06-28,11070
2015-06-29,16347
2015-06-30,16764
2015-07-01,16872
2015-07-02,15949
2015-07-03,13894
2015-07-04,10213
2015-07-05,10877
2015-07-06,16676
2015-07-07,18514
2015-07-08,17630
2015-07-09,18340
2015-07-10,15319
2015-07-11,11447
2015-07-12,11932
2015-07-13,16889
2015-07-14,17214
2015-07-15,16506
2015-07-16,15957
2015-07-17,14456
2015-07-18,10794
2015-07-19,11523
2015-07-20,17220
2015-07-21,16655
2015-07-22,16987
2015-07-23,20546
2015-07-24,23571
2015-07-25,17322
2015-07-26,13525
2015-07-27,16031
2015-07-28,16443
2015-07-29,16207
2015-07-30,15642
2015-07-31,14524
2015-08-01,10400
2015-08-02,10480
2015-08-03,16311
2015-08-04,17203
2015-08-05,16581
2015-08-06,16217
2015-08-07,15201
2015-08-08,10434
2015-08-09,10987
2015-08-10,16223
2015-08-11,17061
2015-08-12,16958
2015-08-13,16890
2015-08-14,15501
2015-08-15,23092
2015-08-16,26587
2015-08-17,37509
2015-08-18,20098
2015-08-19,18375
2015-08-20,17280
2015-08-21,16281
2015-08-22,12331
2015-08-23,14290
2015-08-24,16893
2015-08-25,17603
2015-08-26,17360
2015-08-27,17141
2015-08-28,15878
2015-08-29,11931
2015-08-30,11418
2015-08-31,16374
2015-09-01,17640
2015-09-02,17577
2015-09-03,16321
2015-09-04,14942
2015-09-05,11428
2015-09-06,13027
2015-09-07,16519
2015-09-08,18945
2015-09-09,18791
2015-09-10,19026
2015-09-11,17358
2015-09-12,12588
2015-09-13,13050
2015-09-14,20172
2015-09-15,21763
2015-09-16,19948
2015-09-17,22687
2015-09-18,18753
2015-09-19,13567
2015-09-20,13348
2015-09-21,19579
2015-09-22,20307
2015-09-23,19702
2015-09-24,19168
2015-09-25,17665
2015-09-26,13803
2015-09-27,14921
2015-09-28,18449
2015-09-29,19744
2015-09-30,20474
2015-10-01,19613
2015-10-02,17187
2015-10-03,12182
2015-10-04,12556
2015-10-05,19850
2015-10-06,19655
2015-10-07,19234
2015-10-08,20184
2015-10-09,18157
2015-10-10,14230
2015-10-11,13527
2015-10-12,18870
2015-10-13,21083
2015-10-14,21400
2015-10-15,20242
2015-10-16,18150
2015-10-17,13934
2015-10-18,14058
