date,count
2011-01-01,462
2011-01-02,586
2011-01-03,716
2011-01-04,869
2011-01-05,922
2011-01-06,848
2011-01-07,1234
2011-01-08,649
2011-01-09,646
2011-01-10,894
2011-01-11,963
2011-01-12,979
2011-01-13,941
2011-01-14,869
2011-01-15,741
2011-01-16,758
2011-01-17,893
2011-01-18,988
2011-01-19,927
2011-01-20,853
2011-01-21,1151
2011-01-22,723
2011-01-23,779
2011-01-24,971
2011-01-25,999
2011-01-26,991
2011-01-27,1004
2011-01-28,1010
2011-01-29,809
2011-01-30,822
2011-01-31,974
2011-02-01,1065
2011-02-02,1016
2011-02-03,953
2011-02-04,925
2011-02-05,759
2011-02-06,864
2011-02-07,1127
2011-02-08,1149
2011-02-09,1124
2011-02-10,1163
2011-02-11,1132
2011-02-12,838
2011-02-13,939
2011-02-14,1063
2011-02-15,1136
2011-02-16,1184
2011-02-17,1120
2011-02-18,1155
2011-02-19,890
2011-02-20,896
2011-02-21,1115
2011-02-22,1219
2011-02-23,1167
2011-02-24,1095
2011-02-25,1099
2011-02-26,939
2011-02-27,948
2011-02-28,1161
2011-03-01,1153
2011-03-02,1065
2011-03-03,1009
2011-03-04,1085
2011-03-05,874
2011-03-06,927
2011-03-07,1249
2011-03-08,1161
2011-03-09,1109
2011-03-10,1132
2011-03-11,1072
2011-03-12,780
2011-03-13,904
2011-03-14,1091
2011-03-15,1089
2011-03-16,1114
2011-03-17,1062
2011-03-18,1070
2011-03-19,876
2011-03-20,890
2011-03-21,1150
2011-03-22,1195
2011-03-23,1149
2011-03-24,1141
2011-03-25,1135
2011-03-26,914
2011-03-27,994
2011-03-28,1180
2011-03-29,1155
2011-03-30,1242
2011-03-31,1245
2011-04-01,1231
2011-04-02,883
2011-04-03,1004
2011-04-04,1220
2011-04-05,1223
2011-04-06,1235
2011-04-07,1240
2011-04-08,1193
2011-04-09,933
2011-04-10,922
2011-04-11,1246
2011-04-12,1294
2011-04-13,1270
2011-04-14,1170
2011-04-15,1186
2011-04-16,966
2011-04-17,975
2011-04-18,1198
2011-04-19,1269
2011-04-20,1280
2011-04-21,1182
2011-04-22,1070
2011-04-23,876
2011-04-24,774
2011-04-25,1077
2011-04-26,1240
2011-04-27,1195
2011-04-28,1396
2011-04-29,1320
2011-04-30,858
2011-05-01,853
2011-05-02,1084
2011-05-03,1264
