date,count
2014-01-01,3922
2014-01-02,6338
2014-01-03,6568
2014-01-04,5402
2014-01-05,5240
2014-01-06,8715
2014-01-07,7857
2014-01-08,7993
2014-01-09,7697
2014-01-10,7663
2014-01-11,5520
2014-01-12,6276
2014-01-13,8676
2014-01-14,8687
2014-01-15,8450
2014-01-16,8373
2014-01-17,7801
2014-01-18,5868
2014-01-19,5796
2014-01-20,7854
2014-01-21,8525
2014-01-22,8600
2014-01-23,8359
2014-01-24,7929
2014-01-25,6529
2014-01-26,6463
2014-01-27,8282
2014-01-28,8736
2014-01-29,8797
2014-01-30,8151
2014-01-31,7777
2014-02-01,6241
2014-02-02,6161
2014-02-03,7923
2014-02-04,8797
2014-02-05,8916
2014-02-06,9246
2014-02-07,8343
2014-02-08,6878
2014-02-09,6738
2014-02-10,8811
2014-02-11,9594
2014-02-12,9216
2014-02-13,9061
2014-02-14,8165
2014-02-15,6264
2014-02-16,6470
2014-02-17,8986
2014-02-18,9399
2014-02-19,9520
2014-02-20,9109
2014-02-21,9637
2014-02-22,7113
2014-02-23,6752
2014-02-24,9305
2014-02-25,9829
2014-02-26,9732
2014-02-27,9650
2014-02-28,8836
2014-03-01,6608
2014-03-02,6601
2014-03-03,9062
2014-03-04,9766
2014-03-05,9398
2014-03-06,9603
2014-03-07,8887
2014-03-08,6581
2014-03-09,6694
2014-03-10,9455
2014-03-11,9765
2014-03-12,11073
2014-03-13,14698
2014-03-14,8573
2014-03-15,6563
2014-03-16,6874
2014-03-17,9137
2014-03-18,9979
2014-03-19,10139
2014-03-20,9924
2014-03-21,9147
2014-03-22,6962
2014-03-23,7208
2014-03-24,9318
2014-03-25,10151
2014-03-26,10168
2014-03-27,10003
2014-03-28,8924
2014-03-29,7027
2014-03-30,6609
2014-03-31,9435
2014-04-01,9775
2014-04-02,9694
2014-04-03,9893
2014-04-04,8770
2014-04-05,6832
2014-04-06,6891
2014-04-07,9773
2014-04-08,11073
2014-04-09,10947
2014-04-10,10623
2014-04-11,9946
2014-04-12,8049
2014-04-13,8068
2014-04-14,10357
2014-04-15,10683
2014-04-16,10372
2014-04-17,9812
2014-04-18,8873
2014-04-19,7392
2014-04-20,7123
2014-04-21,9451
2014-04-22,10733
2014-04-23,10181
2014-04-24,10415
2014-04-25,9847
2014-04-26,7917
2014-04-27,9192
2014-04-28,9535
2014-04-29,9896
2014-04-30,9412
2014-05-01,8241
2014-05-02,8407
2014-05-03,6537
2014-05-04,7002
2014-05-05,9337
2014-05-06,10328
2014-05-07,10662
2014-05-08,10295
2014-05-09,9848
2014-05-10,7349
2014-05-11,7338
2014-05-12,10413
2014-05-13,10892
2014-05-14,10939
2014-05-15,10326
2014-05-16,9339
2014-05-17,7169
2014-05-18,7400
2014-05-19,10095
2014-05-20,10540
2014-05-21,10400
2014-05-22,10382
2014-05-23,9631
2014-05-24,7328
2014-05-25,8043
2014-05-26,8576
2014-05-27,9646
2014-05-28,9945
2014-05-29,9284
2014-05-30,8763
2014-05-31,6422
2014-06-01,6195
2014-06-02,9417
2014-06-03,10929
2014-06-04,11142
2014-06-05,10643
2014-06-06,9456
2014-06-07,7041
2014-06-08,7150
2014-06-09,9840
2014-06-10,10268
2014-06-11,10335
2014-06-12,9720
2014-06-13,9103
2014-06-14,7017
2014-06-15,7121
2014-06-16,9422
2014-06-17,10156
2014-06-18,9843
2014-06-19,9988
2014-06-20,9274
2014-06-21,7449
2014-06-22,8845
2014-06-23,9514
2014-06-24,9342
2014-06-25,9498
2014-06-26,9205
2014-06-27,8618
2014-06-28,5961
2014-06-29,6150
2014-06-30,8821
2014-07-01,8969
2014-07-02,9777
2014-07-03,9202
2014-07-04,7762
2014-07-05,5645
2014-07-06,6237
2014-07-07,9750
2014-07-08,10176
2014-07-09,10091
2014-07-10,10027
2014-07-11,9514
2014-07-12,6568
2014-07-13,6657
2014-07-14,9899
2014-07-15,10265
2014-07-16,11958
2014-07-17,10089
2014-07-18,9120
2014-07-19,6921
2014-07-20,7136
2014-07-21,10008
2014-07-22,10598
2014-07-23,10472
2014-07-24,14065
2014-07-25,11050
2014-07-26,7844
2014-07-27,8789
2014-07-28,9629
2014-07-29,11059
2014-07-30,21145
2014-07-31,13146
2014-08-01,19770
2014-08-02,11693
2014-08-03,9271
2014-08-04,9394
2014-08-05,10309
2014-08-06,10099
2014-08-07,9847
2014-08-08,8920
2014-08-09,6599
2014-08-10,6948
2014-08-11,10335
2014-08-12,10212
2014-08-13,10731
2014-08-14,10320
2014-08-15,9098
2014-08-16,6940
2014-08-17,7461
2014-08-18,9919
2014-08-19,10534
2014-08-20,10381
2014-08-21,10196
2014-08-22,9930
2014-08-23,7826
2014-08-24,8839
2014-08-25,9483
2014-08-26,10346
2014-08-27,10525
2014-08-28,9923
2014-08-29,9074
2014-08-30,6411
2014-08-31,6715
2014-09-01,9259
2014-09-02,11202
2014-09-03,11479
2014-09-04,11043
2014-09-05,9689
